city,district,start_date,end_date,facilities,size,price,name,online_for,url,price_per_qm
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,350 €,Moath Razzaq,17 hours,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8402212.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,360 €,Matthias,17.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7396290.html,n.a
Essen,"Bergerhausen, Huttrop, Rüttenscheid, Süd, in der Nähe der KEM klinik bis 5 Km UMKREİS",n.a,n.a,Furnished,n.a,400 €,Roleda Aydin,18.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8235768.html,n.a
Essen,"Frohnhausen, Holsterhausen",n.a,n.a,"Furnished, Unfurnished",15 m²,400 €,Dan,22.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7987162.html,26.666666666666668
Essen,"Altendorf, Altenessen, Bergeborbeck, Bergerhausen, Borbeck, Bredeney, Burgaltendorf, Byfang, Dellwig, Fischlaken, Freisenbruch, Frillendorf, Frintrop, Frohnhausen, Fulerum, Haarzopf, Heidhausen, Heisingen, Holsterhausen, Horst, Huttrop, Innenstadt, Karnap, Katernberg, Kettwig, Kray, Kupferdreh, Leithe, Margarethenhöhe, Nord, Ost, Rellinghausen, Rüttenscheid, Schönebeck, Schonnebeck, Schuir, Stadtwald, Steele, Stoppenberg, Süd, Überruhr, Werden",n.a,n.a,Unfurnished,10 m²,350 €,Paul Hanf,19.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8385235.html,35.0
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,"Unfurnished, With a kitchen",12 m²,400 €,Marvin,23.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8391157.html,33.333333333333336
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,n.a,300 €,Qusay A.,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.7773302.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,"Furnished, Unfurnished",1 m²,300 €,Orkan Akin,2 days,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8398556.html,300.0
Essen,"Holsterhausen, Rüttenscheid",n.a,n.a,n.a.,n.a,440 €,Cora N.,25.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8357107.html,n.a
Essen,"Altendorf,Altenessen,Bergeborbeck,Bergerhausen,Borbeck,Bredeney,Burgaltendorf,Byfang,Dellwig,Fischlaken,Freisenbruch,Frillendorf,Frintrop,Frohnhausen,Fulerum,Haarzopf,Heidhausen,Heisingen,Holsterhausen,Horst,Huttrop,Innenstadt,Karnap,Katernberg,Kettwig,Kray,Kupferdreh,Leithe,Margarethenhöhe,Nord,Ost,Rellinghausen,Rüttenscheid,Schönebeck,Schonnebeck,Schuir,Stadtwald,Steele,Stoppenberg,Süd,Überruhr,Werden",n.a,n.a,n.a.,18 m²,500 €,Yousef Bazanco,08.11.2020,https://www.wg-gesucht.de/en/wg-zimmer-in-Essen-gesucht.8367638.html,27.77777777777778
