Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.12.2020 12:8,requests,Essen,Burgaltendorf,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Burgaltendorf,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Burgaltendorf,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Burgaltendorf,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Burgaltendorf,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Frohnhausen,KPI 1,Average price,369.4
25.12.2020 12:8,requests,Essen,Frohnhausen,KPI 2,Average size,13.6
25.12.2020 12:8,requests,Essen,Frohnhausen,KPI 3,Average €/qm,29.16633986928105
25.12.2020 12:8,requests,Essen,Frohnhausen,KPI 4,Count furnished,9
25.12.2020 12:8,requests,Essen,Frohnhausen,KPI 5,Count unfurnished,17
25.12.2020 12:8,requests,Essen,Rüttenscheid,KPI 1,Average price,387.0
25.12.2020 12:8,requests,Essen,Rüttenscheid,KPI 2,Average size,13.5
25.12.2020 12:8,requests,Essen,Rüttenscheid,KPI 3,Average €/qm,31.130602240896366
25.12.2020 12:8,requests,Essen,Rüttenscheid,KPI 4,Count furnished,9
25.12.2020 12:8,requests,Essen,Rüttenscheid,KPI 5,Count unfurnished,17
25.12.2020 12:8,requests,Essen,Borbeck,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Borbeck,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Borbeck,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Borbeck,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Borbeck,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Bredeney,KPI 1,Average price,377.85714285714283
25.12.2020 12:8,requests,Essen,Bredeney,KPI 2,Average size,13.333333333333334
25.12.2020 12:8,requests,Essen,Bredeney,KPI 3,Average €/qm,31.090277777777786
25.12.2020 12:8,requests,Essen,Bredeney,KPI 4,Count furnished,7
25.12.2020 12:8,requests,Essen,Bredeney,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Kettwig,KPI 1,Average price,368.3333333333333
25.12.2020 12:8,requests,Essen,Kettwig,KPI 2,Average size,13.75
25.12.2020 12:8,requests,Essen,Kettwig,KPI 3,Average €/qm,28.680147058823533
25.12.2020 12:8,requests,Essen,Kettwig,KPI 4,Count furnished,7
25.12.2020 12:8,requests,Essen,Kettwig,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Schonnebeck,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Schonnebeck,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Schonnebeck,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Schonnebeck,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Schonnebeck,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Rellinghausen,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Rellinghausen,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Rellinghausen,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Rellinghausen,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Rellinghausen,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Kupferdreh,KPI 1,Average price,361.75
25.12.2020 12:8,requests,Essen,Kupferdreh,KPI 2,Average size,13.454545454545455
25.12.2020 12:8,requests,Essen,Kupferdreh,KPI 3,Average €/qm,28.61363636363637
25.12.2020 12:8,requests,Essen,Kupferdreh,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Kupferdreh,KPI 5,Count unfurnished,15
25.12.2020 12:8,requests,Essen,Kray,KPI 1,Average price,363.57142857142856
25.12.2020 12:8,requests,Essen,Kray,KPI 2,Average size,13.333333333333334
25.12.2020 12:8,requests,Essen,Kray,KPI 3,Average €/qm,29.006944444444446
25.12.2020 12:8,requests,Essen,Kray,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Kray,KPI 5,Count unfurnished,16
25.12.2020 12:8,requests,Essen,Steele,KPI 1,Average price,363.57142857142856
25.12.2020 12:8,requests,Essen,Steele,KPI 2,Average size,13.333333333333334
25.12.2020 12:8,requests,Essen,Steele,KPI 3,Average €/qm,29.006944444444446
25.12.2020 12:8,requests,Essen,Steele,KPI 4,Count furnished,6
25.12.2020 12:8,requests,Essen,Steele,KPI 5,Count unfurnished,16
25.12.2020 12:8,requests,Essen,Heisingen,KPI 1,Average price,361.75
